Date,Close,High,Low,Open,Volume,returns,Open-Close,High-Low,Return_1d,std_5,vol_5,Up_Days_5,Up_Days_10,Trend_Eff_10,Range_Pos_20,Vol_Exp_5_20,VPT,VPT_cum,VPT_Momentum,VPT_Direction,Vol_MA20,Vol_Ratio,VolRank_20,Vol_Residual,Vol_Trend,ATR,ATR_pct,RSI_14,ROC_5,BB_Pct,BB_width,EMA10,EMA20,EMA50,EMA100,EMA_Slope,EMA_Slope_Long,ADX_14,ADX_Slope,MACD_Hist,Stoch_K,Close_Z20,Ret_3,Ret_10,Trend_Align,EMA_Stack
2000-01-03,91.88783264160156,93.66477826638543,90.90064062783274,93.66477826638543,8164300,,0.018971332209106146,0.030408340573414343,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,91.88783264160156,91.88783264160156,91.88783264160156,91.88783264160156,0.0,0.0,0.0,,,,,,,,0
2000-01-04,88.29441833496094,91.01906720129023,88.22531492168447,90.68342205109025,8089800,-0.03910653024820321,0.026344437187023728,0.03166610719480801,-0.03910653024820321,,,,,,,,7773435.9915980855,7773435.9915980855,,,,,,,,0.0,0.0,,,,,89.91145477294923,90.00129013061525,90.05519134521484,90.07315841674806,-0.053901214599591185,-0.07186828613281193,0.0,0.0,,,,,,,0
2000-01-05,88.45230865478516,89.41975578069687,86.7148525919233,88.41282101699285,12177900,0.0017882253805130421,-0.0004466279589101221,0.031193078324225944,0.0017882253805130421,0.0,,,,,,,12199676.82986135,19973112.821459435,12199676.82986135,1.0,,,0.00015318627450980392,,,0.0,0.0,,,,,89.32488772877032,89.43251341884083,89.49938573558846,89.5220338401745,-0.06687231674763439,-0.089520421333674,0.0,0.0,,,,,,,0
2000-01-06,87.03079986572266,89.40005939019787,87.03079986572267,88.21542962796026,6227200,-0.016070906578712574,0.013428827215756507,0.027223230490018013,-0.016070906578712574,0.020447377814358125,,,,,,,6127123.250553041,26100236.072012477,6127123.250553042,1.0,,,0.9552696078431373,,,0.0,0.0,,,,,88.56908798973159,88.73917584978138,88.84472683070328,88.8804177880018,-0.10555098092190462,-0.14124193822041775,0.0,0.0,,,,-0.0528582798859043,,,0
2000-01-07,92.0852279663086,92.0852279663086,88.4918507171945,88.6498013655072,8066500,0.0580763144586085,-0.03875278396436525,0.04060687193217311,0.0580763144586085,0.016739738449144333,,0.4,,,,,8534972.590580365,34635208.66259284,8534972.590580367,1.0,,,0.9208026960784313,,,0.0,0.0,,,,,89.57847614676896,89.54855738248386,89.54569056602334,89.54727208037659,0.0028668164605250013,0.0012853021072771753,0.0,0.0,,,,0.042933740352266936,,,2
2000-01-10,92.40113830566406,92.81575879806128,91.63112881978354,92.40113830566406,5741700,0.0034306299319912803,0.0,0.012928248222365829,0.0034306299319912803,0.03591016069220616,0.03592436673596921,0.6,,,,,5761397.647880514,40396606.31047336,5761397.647880517,1.0,,,0.9905024509803921,,,0.0,0.0,,0.005586220169808476,,,90.3116190093181,90.15032165878698,90.07043166624416,90.04701250930589,0.07988999254281737,0.10330914948109182,0.0,0.0,,,,0.04464360185657279,,,3
2000-01-11,91.29545593261719,92.30239110834458,90.66365346941568,92.12469666556916,7503700,-0.01196611203413167,0.009001285897985432,0.018074912891986098,-0.01196611203413167,0.02778743669620499,0.02975172139428322,0.6,,,,,7413909.885129486,47810516.19560285,7413909.885129489,1.0,,,0.9819240196078431,,,0.0,0.0,,0.03398898428971209,,,90.5486841861535,90.36683820582194,90.26712052147492,90.23623901191065,0.09971768434701289,0.13059919391128005,0.0,0.0,,,,0.049001687603404065,,,3
2000-01-12,90.38727569580078,91.35472360080172,90.26881268702516,91.35472360080172,6907700,-0.009947704708180738,0.010590015128593174,0.012029746281714887,-0.009947704708180738,0.029605871104429755,0.030718020974879398,0.4,,,,,6838984.2401873,54649500.43579015,6838984.240187302,1.0,,,0.9849877450980392,,,0.0,0.0,,0.02187582292020762,,,90.51196297672674,90.37037092865889,90.28432489578711,90.25646632241032,0.08604603287177781,0.11390460624856757,0.0,0.0,,,,-0.018438921290709565,,,3
2000-01-13,91.61137390136719,92.08522583533978,90.52546321934668,91.27572878146994,5158300,0.013542815580437573,-0.0036772658446895985,0.017230098146128713,0.013542815580437573,0.02843795109425348,0.028484620193555733,0.6,,,,,5228157.905608571,59877658.34139872,5228157.905608572,1.0,,,0.9833026960784313,,,0.0,0.0,,0.052631643541272366,,,90.75115632084896,90.56943387368997,90.45644298227981,90.41933326350546,0.11299089141016339,0.15010061018450926,0.0,0.0,,,,-0.008547128517879532,,,3
2000-01-14,92.85523223876953,93.17113351791483,92.22342968047896,92.5788186195174,7437300,0.01357755357693402,-0.0029857112390700956,0.010276172125882981,0.01357755357693402,0.010382917759212773,0.012316163354570312,0.6,0.5,,,,7538280.339217732,67415938.68061645,7538280.33921773,1.0,,,0.7452512254901961,,,0.0,0.0,,0.008361865300943405,,,91.19313043901683,90.91365530140719,90.74174988000638,90.68542457037833,0.17190542140080822,0.2282307310288587,0.0,0.0,,,,0.01708492816229068,,,3
